"CNP";"Descrição";"Marca";"Categoria";"Gama";"Vendas CY (€)";"Vendas LY (€)";"Cresc. %";"Unid. CY";"Unid. LY";"PVP CY (€/un)"
"6345918";"AV CICALFATE+ GEL 30";"AVENE";"CORPO";"CICALFATE";"1884.96";"5416.11";"-65.2";"154";"453";"12.24"
"7407502";"KLCAP CH SEC ORT VIT E CAB CAST 150NI";"KLORANE";"CAPILARES";"ORTIGA";"1843.76";"2107.83";"-12.5";"177";"190";"10.42"
"6027581";"AV AGUA TERMAL 150 ML";"AVENE";"ROSTO";"EAU THERMALE";"1742.04";"4091.15";"-57.4";"148";"436";"11.77"
"6994137";"AV SOL ANTI-IDADE 50+";"AVENE";"SOLARES";"SOLARES";"1626.67";"3078.32";"-47.2";"74";"139";"21.98"
"7435735";"AV DERMABSOLU CR DIA 50 REFIL";"AVENE";"ROSTO";"DERMABSOLU";"746.17";"1552.62";"-51.9";"26";"53";"28.70"
"6089557";"AV SOL CLEANANCE 50+ C/COR";"AVENE";"SOLARES";"SOLARES";"350.83";"3058.68";"-88.5";"16";"165";"21.93"
"6941245";"AV SOL CLEANANCE 50+";"AVENE";"SOLARES";"SOLARES";"315.95";"4452.59";"-92.9";"15";"250";"21.06"
"6259374";"AV CLEANANCE COMEDOMED";"AVENE";"ROSTO";"CLEANANCE";"79.01";"10151.32";"-99.2";"5";"694";"15.80"
"6056739";"AD EXCONTROL OL DUC 2X500 PR ESP";"A-DERMA";"CORPO";"EXOMEGA";"59.32";"1788.41";"-96.7";"2";"61";"29.66"
"7376012";"STRUCTOMAX 28 SAQ";"PFM";"ARTICULAÇÃO";"STRUCTOMAX";"0.00";"31922.17";"-100.0";"0";"1515";""
